dataset,method,codec,component,bytes,MiB
SARS-Cov-2_40,Adaptive-Mixed@12.5%-raw,raw,size_partial_offsets_varint,5203,0.005
SARS-Cov-2_40,Adaptive-Mixed@12.5%-raw,raw,size_partial_copy_offsets,20488,0.020
SARS-Cov-2_40,Adaptive-Mixed@12.5%-raw,raw,size_partial_copy_offsets_varint,5143,0.005
SARS-Cov-2_40,Adaptive-Mixed@12.5%-raw,raw,size_partial_literal_offsets,20488,0.020
SARS-Cov-2_40,Adaptive-Mixed@12.5%-raw,raw,size_partial_literal_offsets_varint,5155,0.005
SARS-Cov-2_40,Adaptive-Mixed@12.5%-raw,raw,size_partial_block_ids,20484,0.020
SARS-Cov-2_40,Adaptive-Mixed@12.5%-raw,raw,size_partial_block_ids_varint,5155,0.005
SARS-Cov-2_40,Adaptive-Mixed@12.5%-raw,raw,size_partial_pt,131062,0.125
SARS-Cov-2_40,Adaptive-Mixed@12.5%-raw,raw,size_partial_pt_bitvector,16383,0.016
SARS-Cov-2_40,Adaptive-Mixed@12.5%-raw,raw,size_partial_cpl,169226,0.161
SARS-Cov-2_40,Adaptive-Mixed@12.5%-raw,raw,size_partial_cpl_varint,95084,0.091
SARS-Cov-2_40,Adaptive-Mixed@12.5%-raw,raw,size_partial_sr,338452,0.323
SARS-Cov-2_40,Adaptive-Mixed@12.5%-raw,raw,size_partial_sr_varint,208413,0.199
SARS-Cov-2_40,Adaptive-Mixed@12.5%-raw,raw,size_partial_lp,185796,0.177
SARS-Cov-2_40,Adaptive-Mixed@12.5%-raw,raw,size_hybrid_m_phim1,1322759,1.261
SARS-Cov-2_40,Adaptive-Mixed@12.5%-raw,raw,serialized_index_file,7142907,6.812
SARS-Cov-2_40,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_index,7851717,7.488
SARS-Cov-2_40,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_r,2611336,2.490
SARS-Cov-2_40,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_partial_offsets,20488,0.020
SARS-Cov-2_40,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_partial_offsets_varint,5203,0.005
SARS-Cov-2_40,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_partial_copy_offsets,20488,0.020
SARS-Cov-2_40,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_partial_copy_offsets_varint,5143,0.005
SARS-Cov-2_40,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_partial_literal_offsets,20488,0.020
SARS-Cov-2_40,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_partial_literal_offsets_varint,5155,0.005
SARS-Cov-2_40,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_partial_block_ids,20484,0.020
SARS-Cov-2_40,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_partial_block_ids_varint,5155,0.005
SARS-Cov-2_40,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_partial_pt,131062,0.125
SARS-Cov-2_40,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_partial_pt_bitvector,16383,0.016
SARS-Cov-2_40,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_partial_cpl,169226,0.161
SARS-Cov-2_40,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_partial_cpl_varint,95084,0.091
SARS-Cov-2_40,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_partial_sr,338452,0.323
SARS-Cov-2_40,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_partial_sr_varint,208413,0.199
SARS-Cov-2_40,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_partial_lp,185796,0.177
SARS-Cov-2_40,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_hybrid_m_phim1,1322759,1.261
SARS-Cov-2_40,Adaptive-Mixed@12.5%-varint-v2,varint-v2,serialized_index_file,6762817,6.450
world_leaders,Move-r,raw,size_index,13190400,12.579
world_leaders,Move-r,raw,serialized_index_file,14075223,13.423
world_leaders,Move-r-RLZ,raw,size_index,26597169,25.365
world_leaders,Move-r-RLZ,raw,size_r,11922784,11.370
world_leaders,Move-r-RLZ,raw,serialized_index_file,27481769,26.209
world_leaders,Move-r-LZEnd,raw,size_index,16344816,15.588
world_leaders,Move-r-LZEnd,raw,serialized_index_file,17228696,16.431
world_leaders,Adaptive-Mixed@25%-raw,raw,size_index,17906595,17.077
world_leaders,Adaptive-Mixed@25%-raw,raw,size_r,1703612,1.625
world_leaders,Adaptive-Mixed@25%-raw,raw,size_partial_offsets,45872,0.044
world_leaders,Adaptive-Mixed@25%-raw,raw,size_partial_offsets_varint,11468,0.011
world_leaders,Adaptive-Mixed@25%-raw,raw,size_partial_copy_offsets,45872,0.044
world_leaders,Adaptive-Mixed@25%-raw,raw,size_partial_copy_offsets_varint,11468,0.011
world_leaders,Adaptive-Mixed@25%-raw,raw,size_partial_literal_offsets,45872,0.044
world_leaders,Adaptive-Mixed@25%-raw,raw,size_partial_literal_offsets_varint,11468,0.011
world_leaders,Adaptive-Mixed@25%-raw,raw,size_partial_block_ids,45868,0.044
world_leaders,Adaptive-Mixed@25%-raw,raw,size_partial_block_ids_varint,11495,0.011
world_leaders,Adaptive-Mixed@25%-raw,raw,size_partial_pt,139164,0.133
world_leaders,Adaptive-Mixed@25%-raw,raw,size_partial_pt_bitvector,17396,0.017
world_leaders,Adaptive-Mixed@25%-raw,raw,size_partial_cpl,192328,0.183
world_leaders,Adaptive-Mixed@25%-raw,raw,size_partial_cpl_varint,118913,0.113
world_leaders,Adaptive-Mixed@25%-raw,raw,size_partial_sr,384656,0.367
world_leaders,Adaptive-Mixed@25%-raw,raw,size_partial_sr_varint,253876,0.242
