dataset,budget,method,codec,component,bytes,MiB,relative_to_r_rlzsa_percent
world_leaders,25,Vr-RLZSA-v2,v2,PT,17396,0.017,12.50
world_leaders,25,Vr-RLZSA-v2,v2,CPL,118913,0.113,61.83
world_leaders,25,Vr-RLZSA-v2,v2,LP,172000,0.164,100.00
world_leaders,25,Vr-RLZSA-v2,v2,reference,1703612,1.625,100.00
world_leaders,25,Vr-RLZSA-v2,v2,Phi_fallback,5539457,5.283,100.00
world_leaders,25,Vr-RLZSA-v2,v2,Other(serialized),9122658,8.700,
world_leaders,12.5,r-RLZSA,raw,block_ids,22936,0.022,100.00
world_leaders,12.5,r-RLZSA,raw,SR,188388,0.180,100.00
world_leaders,12.5,r-RLZSA,raw,offsets,68820,0.066,100.00
world_leaders,12.5,r-RLZSA,raw,PT,67373,0.064,100.00
world_leaders,12.5,r-RLZSA,raw,CPL,94194,0.090,100.00
world_leaders,12.5,r-RLZSA,raw,LP,81104,0.077,100.00
world_leaders,12.5,r-RLZSA,raw,reference,1556172,1.484,100.00
world_leaders,12.5,r-RLZSA,raw,Phi_fallback,5539457,5.283,100.00
world_leaders,12.5,r-RLZSA,raw,Other(serialized),9122596,8.700,
world_leaders,12.5,Vr-RLZSA-v1,v1,block_ids,5778,0.006,25.19
world_leaders,12.5,Vr-RLZSA-v1,v1,SR,125349,0.120,66.54
world_leaders,12.5,Vr-RLZSA-v1,v1,offsets,68820,0.066,100.00
world_leaders,12.5,Vr-RLZSA-v1,v1,PT,67373,0.064,100.00
world_leaders,12.5,Vr-RLZSA-v1,v1,CPL,94194,0.090,100.00
world_leaders,12.5,Vr-RLZSA-v1,v1,LP,81104,0.077,100.00
world_leaders,12.5,Vr-RLZSA-v1,v1,reference,1556172,1.484,100.00
world_leaders,12.5,Vr-RLZSA-v1,v1,Phi_fallback,5539457,5.283,100.00
world_leaders,12.5,Vr-RLZSA-v1,v1,Other(serialized),9122618,8.700,
world_leaders,12.5,Vr-RLZSA-v2,v2,block_ids,5778,0.006,25.19
world_leaders,12.5,Vr-RLZSA-v2,v2,SR,125349,0.120,66.54
world_leaders,12.5,Vr-RLZSA-v2,v2,offsets,17205,0.016,25.00
world_leaders,12.5,Vr-RLZSA-v2,v2,PT,8422,0.008,12.50
world_leaders,12.5,Vr-RLZSA-v2,v2,CPL,58021,0.055,61.60
world_leaders,12.5,Vr-RLZSA-v2,v2,LP,81104,0.077,100.00
world_leaders,12.5,Vr-RLZSA-v2,v2,reference,1556172,1.484,100.00
world_leaders,12.5,Vr-RLZSA-v2,v2,Phi_fallback,5539457,5.283,100.00
world_leaders,12.5,Vr-RLZSA-v2,v2,Other(serialized),9122658,8.700,
DNA,25,r-RLZSA,raw,block_ids,614396,0.586,100.00
DNA,25,r-RLZSA,raw,SR,24829536,23.679,100.00
DNA,25,r-RLZSA,raw,offsets,1843200,1.758,100.00
DNA,25,r-RLZSA,raw,PT,7552776,7.203,100.00
DNA,25,r-RLZSA,raw,CPL,12414768,11.840,100.00
DNA,25,r-RLZSA,raw,LP,5381568,5.132,100.00
DNA,25,r-RLZSA,raw,reference,14467016,13.797,100.00
DNA,25,r-RLZSA,raw,Phi_fallback,11587736,11.051,100.00
DNA,25,r-RLZSA,raw,Other(serialized),20020394,19.093,
DNA,25,Vr-RLZSA-v1,v1,block_ids,153613,0.146,25.00
DNA,25,Vr-RLZSA-v1,v1,SR,20220777,19.284,81.44
DNA,25,Vr-RLZSA-v1,v1,offsets,1843200,1.758,100.00
DNA,25,Vr-RLZSA-v1,v1,PT,7552776,7.203,100.00
DNA,25,Vr-RLZSA-v1,v1,CPL,12414768,11.840,100.00
